Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
53.1272399,12.4330371,Vestas,V52/850,#ND,1700,2004,,V52/850,850
53.1272399,12.4330371,Vestas,V90/2000,105,2000,2009,,V90/2000,2000
53.1616835,12.4839469,Enercon,E82/2000,#ND,2000,2013,,E82/2000,2000
53.165205,12.485947,Fuhrländer,FL MD/77,#ND,4500,2005,,FL MD/77,1525
53.190409,12.469638,Enercon,E40/500,#ND,500,1997,,E40/500,500
53.4004082,14.1237459,#ND,#ND,#ND,8000,2007,,Standard,3300
53.4004082,14.1237459,#ND,#ND,#ND,16000,2008,,Standard,3300
53.4004082,14.1237459,#ND,#ND,#ND,2000,2009,,Standard,3300
51.964599,10.096919,GE Energy,1.5sl,96,6000,2004,,1.5sl,1500
51.766111,11.851389,Enercon,#ND,#ND,1600,2003,,Standard,3300
53.354605,9.525312,#ND,#ND,#ND,7200,2002,,Standard,3300
53.354605,9.525312,#ND,#ND,#ND,6000,2009,,Standard,3300
53.354605,9.525312,#ND,#ND,#ND,10800,2002,,Standard,3300
54.165851,8.997974,#ND,#ND,#ND,11500,2009,,Standard,3300
54.1659609,8.9954356,#ND,#ND,#ND,150,1994,,Standard,3300
54.165851,8.997974,Vestas,V47/660,60,6600,1999,,V47/660,660
