Date,Latitude,Longitude,value
2016,50.75,6.5,8.1
2016,50.75,6.75,8.4
2016,50.75,7,7.8
2016,50.75,7.25,5.9
2016,50.75,7.5,4.7
2016,50.75,7.75,4.6
2016,50.75,8,4.7
2016,50.75,8.25,1.9
2016,50.75,8.5,4.6
2016,50.75,8.75,5.5
2016,50.75,9,5.5
2016,50.75,9.25,5.9
2016,50.75,9.5,4.3
2016,50.75,9.75,5.2
2016,50.75,10,4.9
2016,50.75,10.25,2.8
2016,50.75,10.5,3
2016,50.75,10.75,5.3
2016,50.75,11,4.7
2016,50.75,11.25,3.7
2016,50.75,11.5,4.1
2016,50.75,11.75,5.5
2016,50.75,12,6.1
2016,50.75,12.25,6.2
2016,50.75,12.5,5.6
2016,50.75,12.75,6.2
2016,50.75,13,5.7
2016,50.75,13.25,4.3
2016,50.75,13.5,4.8
2016,50.75,13.75,5.9
2016,50.75,14,3.4
2016,50.75,14.25,1.2
2016,50.75,14.5,4.2
2016,50.75,14.75,1.9
2016,50.75,15,2.7
2016,50.75,15.25,2.7
2016,50.75,15.5,2.2
2016,50.5,5.5,7.5
2016,50.5,5.75,6.8
2016,50.5,6,6.7
2016,50.5,6.25,8.2
2016,50.5,6.5,7.3
2016,50.5,6.75,6.9
2016,50.5,7,6.7
2016,50.5,7.25,3.5
2016,50.5,7.5,5
2016,50.5,7.75,5.7
2016,50.5,8,2
2016,50.5,8.25,3.5
2016,50.5,8.5,4.9
2016,50.5,8.75,3.2
2016,50.5,9,3.9
2016,50.5,9.25,3.9
2016,50.5,9.5,5.3
2016,50.5,9.75,3.3
2016,50.5,10,3.8
2016,50.5,10.25,1.6
2016,50.5,10.5,2.2
2016,50.5,10.75,2.7
2016,50.5,11,4.5
2016,50.5,11.25,4.7
2016,50.5,11.5,4.8
2016,50.5,11.75,4.8
2016,50.5,12,5.2
2016,50.5,12.25,5.5
2016,50.5,12.5,5.6
2016,50.5,12.75,3.8
2016,50.5,13,5.4
2016,50.5,13.25,6.1
2016,50.5,13.5,1.9
2016,50.5,13.75,2.9
2016,50.5,14,0.9
2016,50.5,14.25,1.9
2016,50.5,14.5,3
2016,50.5,14.75,4.4
2016,50.5,15,1.9
2016,50.5,15.25,3.2
2016,50.5,15.5,4.7
2016,50.25,5.5,5.6
2016,50.25,5.75,7
2016,50.25,6,6.4
2016,50.25,6.25,5.5
2016,50.25,6.5,5.8
2016,50.25,6.75,5.3
2016,50.25,7,5.7
2016,50.25,7.25,6.5
2016,50.25,7.5,5.3
2016,50.25,7.75,3.7
2016,50.25,8,5.7
